image_id,manufacturer,family,variant
0064008,Airbus,A340,A340-300
0064072,Airbus,A300,A300B4
0064200,Tupolev,Tu-154,Tu-154
0064202,ATR,ATR-42,ATR-42
0064621,McDonnell Douglas,MD-80,MD-87
0064627,de Havilland,Dash 8,DHC-8-100
0064793,McDonnell Douglas,DC-9,DC-9-30
0064890,Boeing,Boeing 747,747-200
0064891,ATR,ATR-72,ATR-72
0064904,Beechcraft,Beechcraft 1900,Beechcraft 1900
0064919,Fokker,Fokker 70,Fokker 70
0064924,Boeing,Boeing 747,747-300
0064928,McDonnell Douglas,DC-10,DC-10
0064930,Airbus,A340,A340-200
0064932,Boeing,Boeing 707,707-320
0064933,Boeing,Boeing 707,707-320
0065125,McDonnell Douglas,MD-90,MD-90
0065207,McDonnell Douglas,DC-10,DC-10
0065221,McDonnell Douglas,DC-9,DC-9-30
0065226,Airbus,A300,A300B4
0065286,Boeing,Boeing 747,747-200
0065291,Airbus,A330,A330-300
0065292,Boeing,Boeing 747,747-300
0065294,Fokker,Fokker 100,Fokker 100
0065328,Canadair,Challenger 600,Challenger 600
0065387,Lockheed Corporation,L-1011,L-1011
0065405,Douglas Aircraft Company,DC-8,DC-8
0065406,Canadair,CRJ-200,CRJ-200
0065412,Airbus,A310,A310
0065414,Lockheed Corporation,L-1011,L-1011
0065422,Boeing,Boeing 737,737-200
0065431,Saab,Saab 340,Saab 340
0065432,de Havilland,Dash 8,DHC-8-100
0065436,Boeing,Boeing 777,777-200
0065577,British Aerospace,BAE 146,BAE 146-300
0065579,McDonnell Douglas,DC-9,DC-9-30
0065767,British Aerospace,BAE 146,BAE 146-200
0065768,ATR,ATR-42,ATR-42
0065774,Fokker,Fokker 100,Fokker 100
0065778,Dornier,Dornier 328,Dornier 328
0065780,Airbus,A300,A300B4
0065826,Boeing,Boeing 747,747-400
0065828,Saab,Saab 2000,Saab 2000
0065830,Boeing,Boeing 747,747-200
0065834,McDonnell Douglas,DC-10,DC-10
0065838,Ilyushin,Il-76,Il-76
0065840,Boeing,Boeing 727,727-200
0065979,Boeing,Boeing 747,747-200
0066278,de Havilland,Dash 8,DHC-8-300
0066279,Boeing,Boeing 737,737-300
0066281,Embraer,EMB-120,EMB-120
0066405,Tupolev,Tu-154,Tu-154
0066406,Tupolev,Tu-154,Tu-154
0066408,Yakovlev,Yak-42,Yak-42
0066409,Lockheed Corporation,L-1011,L-1011
0066410,Boeing,Boeing 737,737-400
0066411,Lockheed Corporation,L-1011,L-1011
0066413,Airbus,A340,A340-300
0066418,Tupolev,Tu-134,Tu-134
0066420,Boeing,Boeing 747,747-300
0066423,Boeing,Boeing 767,767-300
0066424,Fokker,Fokker 100,Fokker 100
0066425,Fokker,Fokker 50,Fokker 50
0066521,McDonnell Douglas,DC-10,DC-10
0066522,Airbus,A300,A300B4
0066530,McDonnell Douglas,MD-11,MD-11
0066532,Airbus,A300,A300B4
0066533,Airbus,A340,A340-200
0066677,Airbus,A320,A321
0066977,ATR,ATR-42,ATR-42
0066978,McDonnell Douglas,DC-10,DC-10
0066979,Beechcraft,Beechcraft 1900,Beechcraft 1900
0066980,Saab,Saab 340,Saab 340
0067031,Fokker,Fokker 50,Fokker 50
0067034,Boeing,Boeing 767,767-300
0067035,Beechcraft,Beechcraft 1900,Beechcraft 1900
0067036,Boeing,Boeing 737,737-700
0067037,Embraer,EMB-120,EMB-120
0067392,Beechcraft,Beechcraft 1900,Beechcraft 1900
0067396,Lockheed Corporation,L-1011,L-1011
0067397,Airbus,A300,A300B4
0067473,Beechcraft,Beechcraft 1900,Beechcraft 1900
0067617,Saab,Saab 2000,Saab 2000
0067618,Airbus,A320,A320
0067619,Boeing,Boeing 737,737-200
0067670,Embraer,Embraer ERJ 145,ERJ 145
0067671,Boeing,Boeing 737,737-700
0067863,Airbus,A330,A330-200
0067865,Airbus,A310,A310
0068810,Fairchild,Metroliner,Metroliner
0068811,Douglas Aircraft Company,C-47,C-47
0068813,Boeing,Boeing 767,767-300
0068814,McDonnell Douglas,MD-80,MD-87
0069768,Boeing,Boeing 747,747-200
0069769,Fokker,Fokker 50,Fokker 50
0069770,de Havilland,Dash 8,DHC-8-100
0069771,de Havilland,Dash 8,DHC-8-300
0069772,ATR,ATR-42,ATR-42
0069776,Boeing,Boeing 737,737-300
0070035,Fokker,Fokker 70,Fokker 70
0071197,Airbus,A300,A300B4
0071748,Cessna,Cessna Citation,Cessna 560
0071754,Gulfstream Aerospace,Gulfstream,Gulfstream V
0072368,McDonnell Douglas,MD-80,MD-80
0072369,Boeing,Boeing 737,737-500
0072480,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0072491,de Havilland,Dash 8,DHC-8-100
0072617,Embraer,EMB-120,EMB-120
0072869,Airbus,A340,A340-300
0072870,Airbus,A340,A340-200
0074245,Boeing,Boeing 737,737-500
0074246,Boeing,Boeing 737,737-800
0074247,Boeing,Boeing 737,737-300
0074371,Embraer,EMB-120,EMB-120
0074462,Fairchild,Metroliner,Metroliner
0074464,Boeing,Boeing 737,737-200
0074517,Fokker,Fokker 100,Fokker 100
0074630,Lockheed Corporation,L-1011,L-1011
0074632,Douglas Aircraft Company,DC-3,DC-3
0074633,Boeing,Boeing 747,747-100
0074746,McDonnell Douglas,DC-9,DC-9-30
0074747,McDonnell Douglas,DC-9,DC-9-30
0075050,Boeing,Boeing 737,737-200
0075752,Boeing,Boeing 737,737-400
0075758,Boeing,Boeing 727,727-200
0075759,Airbus,A320,A320
0075760,Boeing,Boeing 757,757-200
0076782,British Aerospace,BAE 146,BAE 146-300
0076791,Embraer,Embraer ERJ 145,ERJ 145
0076795,de Havilland,DHC-6,DHC-6
0076836,Airbus,A320,A321
0076843,Boeing,Boeing 737,737-400
0076845,Airbus,A340,A340-300
0077196,Airbus,A340,A340-200
0077513,Yakovlev,Yak-42,Yak-42
0077514,Tupolev,Tu-154,Tu-154
0077517,Dornier,Dornier 328,Dornier 328
0077518,British Aerospace,BAE 146,BAE 146-300
0077519,Airbus,A340,A340-300
0078141,Fokker,Fokker 70,Fokker 70
0078364,Airbus,A340,A340-200
0078400,Cessna,Cessna 208,Cessna 208
0078427,McDonnell Douglas,MD-80,MD-87
0078550,McDonnell Douglas,DC-9,DC-9-30
0080532,Cessna,Cessna 208,Cessna 208
0081592,de Havilland,Dash 8,DHC-8-100
0081597,Boeing,Boeing 737,737-800
0081600,Airbus,A340,A340-200
0081864,Dassault Aviation,Falcon 2000,Falcon 2000
0082492,de Havilland,Dash 8,DHC-8-100
0082497,Beechcraft,Beechcraft 1900,Beechcraft 1900
0082499,Cessna,Cessna 208,Cessna 208
0082500,Cessna,Cessna 208,Cessna 208
0082967,Airbus,A340,A340-200
0083150,Airbus,A320,A321
0083356,British Aerospace,BAE-125,BAE-125
0083366,de Havilland,Dash 8,DHC-8-100
0085153,Embraer,Embraer ERJ 145,ERJ 145
0085330,Saab,Saab 340,Saab 340
0085358,Dassault Aviation,Falcon 900,Falcon 900
0087246,Boeing,Boeing 757,757-200
0087248,Boeing,Boeing 767,767-400
0089230,McDonnell Douglas,MD-80,MD-87
0089346,Lockheed Corporation,L-1011,L-1011
0090853,McDonnell Douglas,MD-11,MD-11
0090861,Airbus,A320,A320
0090862,Boeing,Boeing 757,757-200
0090864,Boeing,Boeing 747,747-300
0090868,Boeing,Boeing 737,737-300
0091111,Lockheed Corporation,L-1011,L-1011
0091257,McDonnell Douglas,DC-10,DC-10
0091297,Douglas Aircraft Company,DC-6,DC-6
0091323,McDonnell Douglas,MD-80,MD-80
0091331,Douglas Aircraft Company,DC-8,DC-8
0091354,Airbus,A300,A300B4
0091356,ATR,ATR-42,ATR-42
0091357,Beechcraft,Beechcraft 1900,Beechcraft 1900
0091361,Embraer,EMB-120,EMB-120
0091362,Boeing,Boeing 737,737-200
0091364,de Havilland,Dash 8,DHC-8-100
0091365,British Aerospace,BAE 146,BAE 146-200
0091366,Fairchild,Metroliner,Metroliner
0091403,de Havilland,Dash 8,DHC-8-100
0091405,Beechcraft,Beechcraft 1900,Beechcraft 1900
0092334,Boeing,Boeing 747,747-100
0092378,McDonnell Douglas,MD-90,MD-90
0092971,Douglas Aircraft Company,DC-8,DC-8
0092976,McDonnell Douglas,DC-10,DC-10
0093500,Cessna,Cessna Citation,Cessna 525
0093506,Embraer,Embraer ERJ 145,ERJ 145
0093510,Gulfstream Aerospace,Gulfstream,Gulfstream V
0093513,de Havilland,Dash 8,DHC-8-100
0093514,McDonnell Douglas,DC-9,DC-9-30
0093515,Boeing,Boeing 737,737-400
0094111,Tupolev,Tu-154,Tu-154
0094394,Airbus,A310,A310
0094395,Tupolev,Tu-154,Tu-154
0094396,Tupolev,Tu-134,Tu-134
0094398,British Aerospace,BAE 146,BAE 146-300
0095325,Saab,Saab 340,Saab 340
0095379,de Havilland,Dash 8,DHC-8-100
0095532,Boeing,Boeing 717,Boeing 717
0095534,Gulfstream Aerospace,Gulfstream,Gulfstream V
0097107,Boeing,Boeing 767,767-400
0097108,Boeing,Boeing 737,737-800
0097110,ATR,ATR-42,ATR-42
0097111,Boeing,Boeing 737,737-500
0097112,Boeing,Boeing 737,737-700
0097113,de Havilland,Dash 8,DHC-8-100
0097118,de Havilland,Dash 8,DHC-8-100
0097119,Boeing,Boeing 737,737-500
0097577,Boeing,Boeing 737,737-300
0097578,Boeing,Boeing 737,737-600
0097748,McDonnell Douglas,DC-9,DC-9-30
0097750,Boeing,Boeing 747,747-200
0097757,Boeing,Boeing 767,767-300
0097758,Embraer,EMB-120,EMB-120
0097765,Saab,Saab 340,Saab 340
0097935,Boeing,Boeing 737,737-300
0098072,Cessna,Cessna 208,Cessna 208
0098085,Saab,Saab 340,Saab 340
0098189,Embraer,EMB-120,EMB-120
0098489,Boeing,Boeing 747,747-300
0098491,Boeing,Boeing 747,747-400
0100206,Airbus,A300,A300B4
0100207,Airbus,A330,A330-300
0100211,Embraer,Embraer ERJ 145,ERJ 135
0100213,Boeing,Boeing 737,737-200
0100263,Piper,PA-28,PA-28
0102223,Airbus,A300,A300B4
0102237,McDonnell Douglas,DC-10,DC-10
0102242,Piper,PA-28,PA-28
0102560,Douglas Aircraft Company,DC-6,DC-6
0102722,de Havilland,Dash 8,DHC-8-100
0103328,Tupolev,Tu-154,Tu-154
0103329,Antonov,An-12,An-12
0103331,Lockheed Corporation,L-1011,L-1011
0104601,Boeing,Boeing 737,737-600
0104604,Yakovlev,Yak-42,Yak-42
0104814,Piper,PA-28,PA-28
0104828,Boeing,Boeing 747,747-100
0104832,Airbus,A300,A300B4
0104847,Lockheed Corporation,C-130,C-130
0104853,Fairchild,Metroliner,Metroliner
0104855,Airbus,A310,A310
0104856,Beechcraft,Beechcraft 1900,Beechcraft 1900
0104863,Piper,PA-28,PA-28
0105827,Tupolev,Tu-134,Tu-134
0108172,McDonnell Douglas,DC-9,DC-9-30
0109440,Airbus,A310,A310
0109444,Fairchild,Metroliner,Metroliner
0109449,Embraer,Embraer ERJ 145,ERJ 145
0109457,McDonnell Douglas,MD-80,MD-87
0109458,ATR,ATR-72,ATR-72
0109461,Douglas Aircraft Company,DC-8,DC-8
0109462,Boeing,Boeing 767,767-200
0109630,Douglas Aircraft Company,DC-8,DC-8
0109632,Boeing,Boeing 737,737-200
0109652,Cessna,Cessna 172,Cessna 172
0109655,Boeing,Boeing 727,727-200
0109656,Fairchild,Metroliner,Metroliner
0110914,Airbus,A320,A319
0113201,Boeing,Boeing 707,707-320
0114120,Boeing,Boeing 747,747-100
0114122,Boeing,Boeing 737,737-200
0114397,Lockheed Corporation,L-1011,L-1011
0114402,de Havilland,Dash 8,DHC-8-100
0114403,Boeing,Boeing 737,737-500
0114407,de Havilland,Dash 8,DHC-8-100
0114409,Boeing,Boeing 737,737-300
0114414,Fokker,Fokker 50,Fokker 50
0114415,Saab,Saab 340,Saab 340
0114420,Airbus,A310,A310
0114421,Saab,Saab 2000,Saab 2000
0114425,de Havilland,Dash 8,DHC-8-100
0114427,McDonnell Douglas,MD-80,MD-87
0114428,McDonnell Douglas,MD-80,MD-80
0114430,McDonnell Douglas,DC-9,DC-9-30
0114435,ATR,ATR-72,ATR-72
0114437,ATR,ATR-42,ATR-42
0114438,Fokker,Fokker 50,Fokker 50
0114439,Boeing,Boeing 737,737-500
0114447,Antonov,An-12,An-12
0114448,McDonnell Douglas,DC-10,DC-10
0114454,Boeing,Boeing 747,747-300
0115062,Airbus,A310,A310
0115064,Fokker,Fokker 50,Fokker 50
0115066,Boeing,Boeing 767,767-200
0115072,Airbus,A320,A320
0115074,Airbus,A340,A340-200
0115565,Boeing,Boeing 747,747-200
0116175,Boeing,Boeing 727,727-200
0116701,McDonnell Douglas,MD-80,MD-87
0116702,McDonnell Douglas,DC-9,DC-9-30
0116704,Airbus,A300,A300B4
0116708,Boeing,Boeing 737,737-400
0116710,Douglas Aircraft Company,DC-8,DC-8
0116718,Embraer,Embraer ERJ 145,ERJ 145
0117996,Boeing,Boeing 767,767-200
0118429,Beechcraft,Beechcraft 1900,Beechcraft 1900
0118430,de Havilland,Dash 8,DHC-8-100
0118439,Beechcraft,King Air,Model B200
0118660,McDonnell Douglas,DC-10,DC-10
0122393,Boeing,Boeing 737,737-400
0123332,Fokker,Fokker 50,Fokker 50
0123337,Fokker,Fokker 100,Fokker 100
0123339,Airbus,A300,A300B4
0123340,Airbus,A310,A310
0123344,Boeing,Boeing 777,777-300
0123345,Boeing,Boeing 777,777-200
0126141,Canadair,Challenger 600,Challenger 600
0126154,Beechcraft,Beechcraft 1900,Beechcraft 1900
0127032,Boeing,Boeing 767,767-400
0127034,McDonnell Douglas,MD-80,MD-87
0127045,Embraer,EMB-120,EMB-120
0127047,Boeing,Boeing 737,737-200
0127050,McDonnell Douglas,MD-80,MD-80
0127058,Boeing,Boeing 767,767-400
0127496,Boeing,Boeing 767,767-300
0127501,de Havilland,Dash 8,DHC-8-300
0127502,de Havilland,Dash 8,DHC-8-100
0127503,Beechcraft,Beechcraft 1900,Beechcraft 1900
0127504,Boeing,Boeing 747,747-400
0127505,Boeing,Boeing 747,747-100
0127507,Boeing,Boeing 767,767-200
0127508,Lockheed Corporation,L-1011,L-1011
0127621,Beechcraft,Beechcraft 1900,Beechcraft 1900
0127627,Boeing,Boeing 737,737-400
0127633,Fokker,Fokker 50,Fokker 50
0127634,Saab,Saab 2000,Saab 2000
0127637,Airbus,A310,A310
0127648,Boeing,Boeing 737,737-200
0127649,Antonov,An-12,An-12
0127650,Ilyushin,Il-76,Il-76
0127652,Tupolev,Tu-134,Tu-134
0129325,Saab,Saab 340,Saab 340
0129326,Beechcraft,Beechcraft 1900,Beechcraft 1900
0130154,Gulfstream Aerospace,Gulfstream,Gulfstream V
0130594,McDonnell Douglas,MD-11,MD-11
0130597,Boeing,Boeing 757,757-300
0130598,Canadair,CRJ-200,CRJ-200
0130599,Boeing,Boeing 737,737-500
0130600,McDonnell Douglas,MD-80,MD-80
0130601,ATR,ATR-42,ATR-42
0130602,Airbus,A310,A310
0132975,Boeing,Boeing 747,747-100
0132979,McDonnell Douglas,MD-80,MD-80
0132987,Fairchild,Metroliner,Metroliner
0133434,McDonnell Douglas,DC-9,DC-9-30
0133435,Airbus,A300,A300B4
0133438,McDonnell Douglas,DC-9,DC-9-30
0133440,Boeing,Boeing 737,737-300
0134592,British Aerospace,BAE 146,BAE 146-300
0134595,Fokker,Fokker 50,Fokker 50
0134596,Fokker,Fokker 100,Fokker 100
0134597,British Aerospace,BAE 146,BAE 146-300
0134598,Boeing,Boeing 757,757-200
0134602,Fokker,Fokker 100,Fokker 100
0136140,British Aerospace,BAE 146,BAE 146-200
0136148,Embraer,EMB-120,EMB-120
0136150,Fokker,Fokker 70,Fokker 70
0136152,Fokker,Fokker 50,Fokker 50
0136158,Lockheed Corporation,L-1011,L-1011
0136160,Fokker,Fokker 100,Fokker 100
0136161,ATR,ATR-72,ATR-72
0136162,British Aerospace,BAE 146,BAE 146-300
0136165,British Aerospace,BAE 146,BAE 146-200
0136167,British Aerospace,BAE 146,BAE 146-300
0136174,McDonnell Douglas,DC-10,DC-10
0136179,de Havilland,Dash 8,DHC-8-300
0136180,ATR,ATR-72,ATR-72
0136181,ATR,ATR-42,ATR-42
0136182,British Aerospace,BAE 146,BAE 146-200
0136184,Canadair,CRJ-200,CRJ-200
0136185,British Aerospace,BAE 146,BAE 146-300
0136190,Airbus,A300,A300B4
0136191,Fokker,Fokker 70,Fokker 70
0136193,McDonnell Douglas,DC-9,DC-9-30
0136197,McDonnell Douglas,DC-10,DC-10
0136240,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0136377,McDonnell Douglas,DC-9,DC-9-30
0136383,McDonnell Douglas,MD-80,MD-87
0136394,de Havilland,Dash 8,DHC-8-100
0136468,Airbus,A340,A340-200
0136472,Airbus,A320,A321
0136479,McDonnell Douglas,DC-10,DC-10
0136480,Airbus,A310,A310
0136483,Fokker,Fokker 100,Fokker 100
0136485,Saab,Saab 340,Saab 340
0136486,Boeing,Boeing 747,747-100
0136489,Boeing,Boeing 777,777-200
0136494,Airbus,A310,A310
0136500,Airbus,A340,A340-200
0138993,Boeing,Boeing 757,757-300
0139297,McDonnell Douglas,MD-90,MD-90
0139685,Boeing,Boeing 747,747-100
0139711,Beechcraft,Beechcraft 1900,Beechcraft 1900
0140272,Airbus,A340,A340-200
0141433,McDonnell Douglas,F/A-18,F/A-18
0143079,Embraer,EMB-120,EMB-120
0143080,Boeing,Boeing 727,727-200
0143336,Airbus,A340,A340-200
0143338,Airbus,A340,A340-300
0143339,Tupolev,Tu-134,Tu-134
0143341,Boeing,Boeing 737,737-500
0143344,Tupolev,Tu-134,Tu-134
0143349,Fokker,Fokker 50,Fokker 50
0143351,McDonnell Douglas,DC-10,DC-10
0143354,McDonnell Douglas,DC-10,DC-10
0143357,Lockheed Corporation,L-1011,L-1011
0143363,Fokker,Fokker 70,Fokker 70
0143364,Boeing,Boeing 737,737-500
0143367,Dornier,Dornier 328,Dornier 328
0143371,Saab,Saab 340,Saab 340
0143372,Saab,Saab 2000,Saab 2000
0143373,British Aerospace,BAE 146,BAE 146-200
0143377,Fokker,Fokker 100,Fokker 100
0143378,McDonnell Douglas,DC-9,DC-9-30
0143381,Airbus,A320,A319
0143384,Airbus,A310,A310
0143388,Boeing,Boeing 747,747-300
0143389,British Aerospace,BAE 146,BAE 146-200
0143396,Tupolev,Tu-154,Tu-154
0144930,Douglas Aircraft Company,DC-6,DC-6
0145542,Saab,Saab 340,Saab 340
0147028,Beechcraft,Beechcraft 1900,Beechcraft 1900
0147029,Boeing,Boeing 767,767-200
0147032,Airbus,A320,A320
0147037,Boeing,Boeing 747,747-100
0147038,Boeing,Boeing 747,747-100
0147042,Douglas Aircraft Company,DC-8,DC-8
0147047,Boeing,Boeing 727,727-200
0147048,Boeing,Boeing 737,737-200
0147057,Boeing,Boeing 737,737-800
0149342,Lockheed Corporation,L-1011,L-1011
0149352,Boeing,Boeing 747,747-100
0151656,McDonnell Douglas,MD-80,MD-80
0151661,Boeing,Boeing 747,747-200
0151664,Embraer,EMB-120,EMB-120
0151665,Boeing,Boeing 737,737-500
0151672,Boeing,Boeing 767,767-400
0151678,Airbus,A340,A340-200
0154312,McDonnell Douglas,MD-90,MD-90
0154348,de Havilland,Dash 8,DHC-8-100
0154349,Dassault Aviation,Falcon 2000,Falcon 2000
0154392,Embraer,EMB-120,EMB-120
0155576,Airbus,A340,A340-200
0155579,Boeing,Boeing 747,747-100
0155602,Dornier,Dornier 328,Dornier 328
0155603,ATR,ATR-72,ATR-72
0155611,ATR,ATR-72,ATR-72
0155816,Cessna,Cessna 208,Cessna 208
0157159,de Havilland,Dash 8,DHC-8-100
0157278,Cessna,Cessna 208,Cessna 208
0158891,Boeing,Boeing 757,757-300
0161728,de Havilland,Dash 8,DHC-8-100
0164676,McDonnell Douglas,MD-11,MD-11
0165200,Boeing,Boeing 717,Boeing 717
0166974,Boeing,Boeing 757,757-200
0167061,Saab,Saab 340,Saab 340
0167063,Fokker,Fokker 70,Fokker 70
0167073,ATR,ATR-42,ATR-42
0167074,Fokker,Fokker 100,Fokker 100
0167090,Boeing,Boeing 747,747-300
0167091,Dornier,Dornier 328,Dornier 328
0167092,Airbus,A300,A300B4
0167114,Boeing,Boeing 747,747-300
0167121,Airbus,A320,A319
0167122,British Aerospace,BAE 146,BAE 146-300
0167123,de Havilland,Dash 8,DHC-8-100
0167124,de Havilland,Dash 8,DHC-8-100
0167800,Boeing,Boeing 777,777-200
0167802,McDonnell Douglas,MD-80,MD-80
0169310,Beechcraft,Beechcraft 1900,Beechcraft 1900
0169317,Boeing,Boeing 757,757-200
0169635,Embraer,EMB-120,EMB-120
0169997,McDonnell Douglas,MD-11,MD-11
0171387,McDonnell Douglas,MD-80,MD-80
0171397,Airbus,A300,A300B4
0171401,Boeing,Boeing 767,767-300
0171412,Douglas Aircraft Company,DC-8,DC-8
0171414,Airbus,A330,A330-200
0171956,McDonnell Douglas,DC-10,DC-10
0172093,Beechcraft,Beechcraft 1900,Beechcraft 1900
0174021,Saab,Saab 340,Saab 340
0174041,McDonnell Douglas,MD-90,MD-90
0174049,Embraer,EMB-120,EMB-120
0174054,Boeing,Boeing 737,737-900
0174059,Lockheed Corporation,L-1011,L-1011
0174852,Airbus,A340,A340-300
0174853,McDonnell Douglas,MD-11,MD-11
0174858,Airbus,A310,A310
0174870,Saab,Saab 340,Saab 340
0174884,Douglas Aircraft Company,C-47,C-47
0174885,Beechcraft,Beechcraft 1900,Beechcraft 1900
0174890,Embraer,Embraer ERJ 145,ERJ 135
0174893,Lockheed Corporation,L-1011,L-1011
0174895,Airbus,A300,A300B4
0174896,Douglas Aircraft Company,DC-6,DC-6
0174901,Douglas Aircraft Company,DC-8,DC-8
0174903,Fokker,Fokker 100,Fokker 100
0174920,Lockheed Corporation,L-1011,L-1011
0174925,Boeing,Boeing 777,777-200
0174926,Canadair,CRJ-200,CRJ-200
0174937,McDonnell Douglas,DC-9,DC-9-30
0174941,McDonnell Douglas,MD-80,MD-87
0174942,Boeing,Boeing 757,757-200
0174943,Embraer,Embraer ERJ 145,ERJ 145
0175704,McDonnell Douglas,MD-90,MD-90
0175724,Cessna,Cessna 208,Cessna 208
0175726,Beechcraft,Beechcraft 1900,Beechcraft 1900
0175746,Boeing,Boeing 737,737-500
0175817,Boeing,Boeing 747,747-400
0175819,Airbus,A330,A330-300
0175821,Airbus,A340,A340-300
0176007,McDonnell Douglas,DC-10,DC-10
0176009,Boeing,Boeing 767,767-400
0176108,McDonnell Douglas,MD-80,MD-87
0176115,Boeing,Boeing 717,Boeing 717
0176131,Boeing,Boeing 767,767-400
0176136,Boeing,Boeing 737,737-400
0176138,McDonnell Douglas,MD-80,MD-80
0176394,British Aerospace,BAE 146,BAE 146-200
0177063,Douglas Aircraft Company,DC-8,DC-8
0177480,ATR,ATR-72,ATR-72
